TOTAL REWARD,TILT,CRASH,GOAL,DISTANCEN_STEPS,DONE,ERRORE
-3.422732977709989,-0.04581209587849038,0,0,-0.03826068844966666,89,False,3.826068844966666
-3.4610675142319454,-0.15032569154311048,0,0,-0.03833453652195671,90,False,3.833453652195671
-3.4994362010907363,-0.10558928598379656,0,0,-0.03836868685879076,91,False,3.8368686858790757
-3.5377853961518486,-0.025502736715587376,0,0,-0.03834919506111252,92,False,3.8349195061112518
-3.576136391093753,-0.0704301669124414,0,0,-0.038350994941904346,93,False,3.8350994941904344
-3.6145027718747382,-0.08112492983058228,0,0,-0.038366380780985254,94,False,3.836638078098525
-3.652902782998255,-0.04751392185640816,0,0,-0.03840001112351719,95,False,3.840001112351719
-3.691322976607466,-0.012448329922771183,0,0,-0.03842019360921086,96,False,3.842019360921086
-3.7297405502500234,-0.01514501444075843,0,0,-0.03841757364255741,97,False,3.841757364255741
-3.7681594369966294,-0.0035769718095806174,0,0,-0.03841888674660605,98,False,3.8418886746606047
-3.8065682480649383,-0.04465991672932475,0,0,-0.038408811068308804,99,False,3.84088110683088
-3.8449444877867833,-0.019272218918982575,0,0,-0.03837623972184508,100,False,3.8376239721845082
-3.883317034132235,-0.08539447033582506,0,0,-0.03837254634545172,101,False,3.8372546345451726
-3.921664764415475,-0.024852535341757482,0,0,-0.03834773028324007,102,False,3.8347730283240065
-3.959970726213499,-0.07710788562477632,0,0,-0.038305961798023584,103,False,3.8305961798023587
-3.9982619808557587,-0.16248486214108912,0,0,-0.038291254642259985,104,False,3.8291254642259984
-4.036566739931985,-0.027271542998295772,0,0,-0.038304759076226096,105,False,3.8304759076226094
-4.074906606995492,-0.1447075578703232,0,0,-0.03833986706350666,106,False,3.833986706350666
-4.113302372759909,-0.11172014056939804,0,0,-0.03839576576441773,107,False,3.839576576441773
-4.151716478291117,-0.025653278129663927,0,0,-0.03841410553120806,108,False,3.841410553120806
-4.190111251296581,-0.032491268727700195,0,0,-0.03839477300546332,109,False,3.8394773005463314
-4.228497432448538,-0.05530554526571886,0,0,-0.03838618115195784,110,False,3.8386181151957843
-4.26685380290674,-0.04959458313785854,0,0,-0.038356370458201866,111,False,3.8356370458201865
-4.305145731931642,-0.029652181545169506,0,0,-0.03829192902490164,112,False,3.829192902490164
-4.343390235139881,-0.10476116368290518,0,0,-0.038244503208239536,113,False,3.8244503208239538
-4.381611108677992,-0.05062043265890989,0,0,-0.03822087353811152,114,False,3.8220873538111526
-4.419834000071105,-0.0677153788719074,0,0,-0.03822289139311206,115,False,3.8222891393112057
-4.458085984487019,-0.08285909424841124,0,0,-0.038251984415913924,116,False,3.825198441591392
-4.496386204819894,-0.06455862812936472,0,0,-0.03830022033287472,117,False,3.8300220332874715
-4.53472670314289,-0.10968896307435676,0,0,-0.03834049832299571,118,False,3.8340498322995704
-4.5730984842059685,-0.1015544676990815,0,0,-0.038371781063078376,119,False,3.837178106307838
-4.61147035201942,-0.07141072679742311,0,0,-0.03837186781345093,120,False,3.8371867813450926
-4.6498166260793745,-0.07408961866159362,0,0,-0.03834627405995471,121,False,3.834627405995471
-4.688131791206731,-0.02897511296792027,0,0,-0.0383151651273564,122,False,3.8315165127356403
-4.726456459998667,-0.04934008484291462,0,0,-0.03832466879193668,123,False,3.8324668791936682
-4.764797465501954,-0.026388925724339495,0,0,-0.03834100550328691,124,False,3.834100550328691
-4.803146569488974,-0.04607171860133612,0,0,-0.03834910398702004,125,False,3.8349103987020037
-4.84150778688245,-0.03340526037749378,0,0,-0.03836121739347534,126,False,3.836121739347534
-4.879876592720277,-0.035752565199146324,0,0,-0.038368805837826564,127,False,3.8368805837826567
-4.918243596444102,-0.02612078112055203,0,0,-0.03836700372382473,128,False,3.8367003723824733
-4.9566081926056755,-0.010892645239587169,0,0,-0.038364596161573665,129,False,3.8364596161573665
-4.994986097358006,-0.04314858229586948,0,0,-0.038377904752330355,130,False,3.837790475233035
-5.033359879611378,-0.010529238429296256,0,0,-0.03837378225337212,131,False,3.8373782253372117
-5.071733800218711,-0.014764162766653523,0,0,-0.038373920607332794,132,False,3.8373920607332797
-5.110071818999209,-0.04392171392465184,0,0,-0.0383380187804985,133,False,3.8338018780498504
-5.148355132303321,-0.06995464556988912,0,0,-0.03828331330411174,134,False,3.8283313304111743
-5.186618005242021,-0.10823809219192393,0,0,-0.038262872938700565,135,False,3.8262872938700565
-5.224889208780843,-0.04084634422219366,0,0,-0.03827120353882205,136,False,3.8271203538822056
-5.263174935335488,-0.1009173825239883,0,0,-0.038285726554645294,137,False,3.828572655464529
-5.301503112581439,-0.14718199618773842,0,0,-0.03832817724595035,138,False,3.832817724595035
-5.339856967084406,-0.0704330341407957,0,0,-0.03835385450296664,139,False,3.835385450296664
-5.378241490421655,-0.13804311105383557,0,0,-0.038384523337249996,140,False,3.8384523337249994
-5.416640043759215,-0.046259712195365676,0,0,-0.038398553337559455,141,False,3.839855333755945
-5.455046464646481,-0.006837515183102159,0,0,-0.03840642088726584,142,False,3.8406420887265837
-5.493452032214858,-0.007463260034356598,0,0,-0.038405567568377,143,False,3.8405567568377
-5.531854105182706,-0.016403088535324097,0,0,-0.03840207296784858,144,False,3.840207296784858
-5.570247033760284,-0.008459521889523798,0,0,-0.03839292857757709,145,False,3.839292857757709
-5.608650356439755,-0.05618767050155827,0,0,-0.03840332267947153,146,False,3.8403322679471534
-5.647046172094522,-0.0011822543712024368,0,0,-0.03839581565476735,147,False,3.839581565476735
-5.6854244991619804,-0.044422285115472165,0,0,-0.03837832706745856,148,False,3.8378327067458566
-5.723790230584585,-0.06533878208435864,0,0,-0.03836573142260505,149,False,3.836573142260505
-5.762155078859538,-0.032094443657234795,0,0,-0.038364848274952706,150,False,3.836484827495271
-5.800519469261886,-0.010797682632791001,0,0,-0.03836439040234731,151,False,3.8364390402347315
-5.838887334728842,-0.05979536660930527,0,0,-0.038367865466955885,152,False,3.8367865466955884
-5.877267325146967,-0.07111928381538239,0,0,-0.03837999041812555,153,False,3.837999041812555
-5.915650864513789,-0.02073624130824396,0,0,-0.038383539366822345,154,False,3.8383539366822346
-5.954035980489276,-0.08551939720976137,0,0,-0.038385115975486904,155,False,3.8385115975486905
-5.992392849589107,-0.03983687162332407,0,0,-0.03835686909983126,156,False,3.835686909983126
-6.030752800344141,-0.04537404962066792,0,0,-0.03835995075503334,157,False,3.835995075503334
-6.069151868531171,-0.09116662250815191,0,0,-0.03839906818703022,158,False,3.839906818703022
